source_sheet,campaign_day,date,content_type,design_archetype,format,page_count,theme,headline_or_hook,supporting_copy,visual_direction,cta,hashtags,filename_slug,design_notes
Phase 1 — Daily Blitz (D1-30),Day 28,"Mar 09, 2026",Post,quote-testimonial-post,1080x1080 square,1,Social Proof: Numbers,HAIR SOLUTIONS CO. BY THE NUMBERS 📊,HAIR SOLUTIONS CO. BY THE NUMBERS 📊  🔢 500+ systems delivered ⭐ 4.8/5 average rating 🌍 Serving 12+ countries ⏱️ 2-4 week delivery 💯 100% quality guarantee 🤝 1 founder who personally oversees every order  Small company. Big commitment.,Clean infographic with the numbers. Brand colors. Professional design. Trust-building.,Join 500+ happy customers → link in bio,#trustpilot #customerreview #qualityguarantee #hairsolutions #numbers,mar-09-2026-quote-testimonial-post-social-proof-numbers,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phase 1 — Daily Blitz (D1-30),Day 30,"Mar 11, 2026",Post,hero-brand-post,1080x1080 square,1,Month 1 Celebration,30 DAYS. 30 POSTS. This is just the beginning. 🚀,"30 DAYS. 30 POSTS. This is just the beginning. 🚀  One month ago we launched Hair Solutions Co. on Instagram. Thank you to everyone who followed, commented, saved, and DM'd.  Month 2 is going to be even bigger. Stay tuned. 💪  🎁 SPECIAL: Use code LAUNCH10 for 10% off this week only",Celebration graphic: collage of best 9 posts from the month. Or clean '30 Days' milestone graphic. Confetti/celebration feel.,Celebrate with us → LAUNCH10 at checkout,#milestone #30days #thankyou #community #hairsolutions,mar-11-2026-hero-brand-post-month-1-celebration,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 34,"Mar 15, 2026",Carousel,carousel-how-it-works,1080x1080 carousel,5,Base Types Deep Dive,Base Types Deep Dive,"MONO vs LACE vs POLY vs SKIN — Complete breakdown of every base material. Pros, cons, best use.",4+ slides comparing each type with photos and specs.,DM 'BASE' for help choosing,#basetypes #hairguide #education,mar-15-2026-carousel-how-it-works-base-types-deep-dive,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 36,"Mar 17, 2026",Post,hero-brand-post,1080x1080 square,1,Founder Story: Why I Started,Founder Story: Why I Started,"The real story behind Hair Solutions Co. What happened, what I learned, and why I'm more committed than ever.","Vincent candid photo. Personal, raw, authentic.",Read full story → link in bio,#founderstory #authenticity #whyIstarted,mar-17-2026-hero-brand-post-founder-story-why-i-started,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 40,"Mar 21, 2026",Carousel,carousel-how-it-works,1080x1080 carousel,5,Maintenance Product Guide,Maintenance Product Guide,Complete guide to every maintenance product and when to use it. Your hair system care bible.,Product lineup with usage instructions per slide.,Shop maintenance → link in bio,#maintenance #careproducts #essentials,mar-21-2026-carousel-how-it-works-maintenance-product-guide,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 44,"Mar 25, 2026",Post,single-product-post,1080x1080 square,1,Product Spotlight: HS2V Poly,Product Spotlight: HS2V Poly,SPOTLIGHT: HS2V Ultra-Thin Poly — our most durable system. Perfect for active lifestyles.,Clean product photography on lifestyle background.,Shop HS2V → link in bio,#polyskin #HS2V #durability #active,mar-25-2026-single-product-post-product-spotlight-hs2v-poly,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 48,"Mar 29, 2026",Carousel,carousel-how-it-works,1080x1080 carousel,5,FAQ Compilation,FAQ Compilation,Your TOP 10 FAQs answered in one post. Swipe through everything you need to know.,"10 slides, each with Q + A. Clean graphic format.",Still have questions? DM us!,#FAQ #questionsanswered #learnmore,mar-29-2026-carousel-how-it-works-faq-compilation,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 50,"Mar 31, 2026",Post,quote-testimonial-post,1080x1080 square,1,Customer Review Highlight,Customer Review Highlight,Another happy customer: 'The quality from Hair Solutions Co. is unmatched. Vincent personally checked my order.',Review screenshot or designed quote card with star rating.,Join our happy customers → link in bio,#review #5stars #happycustomer,mar-31-2026-quote-testimonial-post-customer-review-highlight,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 54,"Apr 04, 2026",Post,hero-brand-post,1080x1080 square,1,Shipping & Tracking Transparency,Shipping & Tracking Transparency,"Every order from Hair Solutions Co. includes full tracking, personal updates, and quality photos before shipping.","Screenshot of tracking system, shipping packaging, QC photo example.",Order with confidence → link in bio,#shipping #transparency #tracking,apr-04-2026-hero-brand-post-shipping-tracking-transparency,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 58,"Apr 08, 2026",Carousel,carousel-how-it-works,1080x1080 carousel,5,Hair Loss Solutions Comparison,Hair Loss Solutions Comparison,"Hair transplant vs Hair system vs Minoxidil vs Finasteride — honest comparison. Cost, time, results.","Comparison chart across 4+ slides. Balanced, educational, honest.",DM to discuss your options,#hairloss #options #comparison,apr-08-2026-carousel-how-it-works-hair-loss-solutions-comparison,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 60,"Apr 10, 2026",Post,hero-brand-post,1080x1080 square,1,Month 2 Recap,Month 2 Recap,"2 months of Hair Solutions Co. on Instagram. Here's what we've learned, built, and shipped. Thank you! 🙏","Recap graphic with best content, stats, milestones.",What content do you want more of? Comment!,#milestone #60days #growth,apr-10-2026-hero-brand-post-month-2-recap,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 66,"Apr 16, 2026",Carousel,carousel-drop-reveal,1080x1080 carousel,5,Results Gallery,Results Gallery,REAL RESULTS from real customers. Swipe through 8 transformations that speak for themselves.,Before/after carousel. 8+ transformations. Professional editing.,Your turn → DM 'START',#results #transformations #proof,apr-16-2026-carousel-drop-reveal-results-gallery,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 69,"Apr 19, 2026",Post,sale-promo-post,1080x1080 square,1,Limited Offer: Spring Sale,🌸 SPRING SPECIAL: 15% off all lace systems this week only. Code: SPRING15,🌸 SPRING SPECIAL: 15% off all lace systems this week only. Code: SPRING15  No catch. Just our way of welcoming the season.,"Spring-themed promotional graphic. Clean, not cheap-looking.",Shop now → link in bio | Code: SPRING15,#springsale #discount #limitedoffer,apr-19-2026-sale-promo-post-limited-offer-spring-sale,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 75,"Apr 25, 2026",Carousel,carousel-drop-reveal,1080x1080 carousel,5,Choosing the Right Density,Choosing the Right Density,DENSITY GUIDE — Visual comparison from 80% to 150%. See exactly what each level looks like on real models.,Side-by-side model photos at different densities. Clear labels.,DM 'DENSITY' for help choosing,#density #guide #choosewisely,apr-25-2026-carousel-drop-reveal-choosing-the-right-density,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 80,"Apr 30, 2026",Post,hero-brand-post,1080x1080 square,1,Trust Signals: Guarantees,OUR PROMISE TO YOU:,OUR PROMISE TO YOU: ✅ Quality guarantee on every system ✅ Full tracking on every order ✅ Personal QC photos before shipping ✅ Direct WhatsApp support ✅ 100% satisfaction commitment,"Trust badge graphic. Clean, professional, confidence-inspiring.",Shop with confidence → link in bio,#guarantee #trust #quality,apr-30-2026-hero-brand-post-trust-signals-guarantees,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 85,"May 05, 2026",Carousel,carousel-drop-reveal,1080x1080 carousel,5,Customer Success Stories x3,Customer Success Stories x3,3 customers. 3 stories. 1 transformation company. Read how Hair Solutions changed their lives.,"3 customer spotlights with photos, quotes, and product details.",Be our next success story → DM,#success #stories #customerspotlight,may-05-2026-carousel-drop-reveal-customer-success-stories-x3,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 87,"May 07, 2026",Post,single-product-post,1080x1080 square,1,New Arrivals Announcement,New Arrivals Announcement,🆕 NEW ARRIVALS just dropped! 3 new colors + a new ultra-thin lace base. Check the collection.,"Product lineup photo of new arrivals. Clean, exciting.",Shop new arrivals → link in bio,#newarrivals #newproduct #justdropped,may-07-2026-single-product-post-new-arrivals-announcement,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 90,"May 10, 2026",Post,hero-brand-post,1080x1080 square,1,Quarter 1 Milestone,90 DAYS ✅ Quarter 1 complete. Growing every day thanks to YOU.,"90 DAYS ✅ Quarter 1 complete. Growing every day thanks to YOU.  Biggest win: real customers, real trust, real transformations.","Q1 milestone graphic. Stats, best moments, community highlights.",What should Q2 bring? Comment below!,#90days #Q1 #milestone,may-10-2026-hero-brand-post-quarter-1-milestone,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 96,"May 16, 2026",Carousel,carousel-drop-reveal,1080x1080 carousel,5,Referral Program Launch,🎁 REFER A FRIEND — Get $50 credit when they order. They get 10% off. Win-win.,🎁 REFER A FRIEND — Get $50 credit when they order. They get 10% off. Win-win.  Swipe for details.,"Program explanation slides. How it works, benefits, terms.",DM 'REFER' to get your code,#referral #referafriend #savemoney,may-16-2026-carousel-drop-reveal-referral-program-launch,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 99,"May 19, 2026",Post,hero-brand-post,1080x1080 square,1,Community Poll Results,Community Poll Results,"We asked, you answered! Results from our community poll on favorite base types, styling habits, and more.","Infographic with poll results. Engaging, community-driven.",More polls coming → turn on notifications!,#community #poll #youranswers,may-19-2026-hero-brand-post-community-poll-results,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 105,"May 25, 2026",Carousel,carousel-drop-reveal,1080x1080 carousel,5,Seasonal Care: Spring/Summer,Seasonal Care: Spring/Summer,HOT WEATHER HAIR SYSTEM CARE — 5 tips to keep your system perfect in heat and humidity.,Seasonal tips carousel. Weather-specific advice. Practical.,Save for summer! 📌,#summercare #hotweather #hairtips,may-25-2026-carousel-drop-reveal-seasonal-care-spring-summer,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 111,"May 31, 2026",Post,quote-testimonial-post,1080x1080 square,1,Feature: Model Spotlight,Feature: Model Spotlight,"Meet [Model Name] — one of our Hair Solutions Co. ambassadors. Real person, real system, real confidence.",Model photo shoot. Professional lifestyle imagery.,Want to model for us? DM!,#ambassador #model #realpeople,may-31-2026-quote-testimonial-post-feature-model-spotlight,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 117,"Jun 06, 2026",Carousel,carousel-how-it-works,1080x1080 carousel,5,Product Comparison: Top 3 Systems,Product Comparison: Top 3 Systems,Our TOP 3 best-selling systems compared side by side. Which one is right for you?,3 products compared across 5+ dimensions. Clear winner per category.,Shop bestsellers → link in bio,#bestsellers #comparison #top3,jun-06-2026-carousel-how-it-works-product-comparison-top-3-systems,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 119,"Jun 08, 2026",Post,sale-promo-post,1080x1080 square,1,Customer Milestone: 100th Sale,Customer Milestone: 100th Sale,🎉 100 ORDERS and counting! Every single one personally overseen by me. Thank you for trusting Hair Solutions Co.,Celebration graphic. Personal milestone. Authentic gratitude.,Be the next one → link in bio,#100orders #milestone #thankyou,jun-08-2026-sale-promo-post-customer-milestone-100th-sale,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 120,"Jun 09, 2026",Post,hero-brand-post,1080x1080 square,1,Month 4 Wrap,Month 4 Wrap,4 months in. Community growing. Confidence spreading. This is just the beginning. 🚀,Month 4 wrap-up graphic with highlights.,What do you want to see next? Tell us!,#month4 #progress #growth,jun-09-2026-hero-brand-post-month-4-wrap,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 126,"Jun 15, 2026",Carousel,carousel-drop-reveal,1080x1080 carousel,5,Customer Transformation Gallery V2,Volume 2: More incredible transformations from the Hair Solutions Co. community.,Volume 2: More incredible transformations from the Hair Solutions Co. community.,8+ new before/after photos. Community-sourced.,Submit your transformation → DM,#transformations #volume2 #community,jun-15-2026-carousel-drop-reveal-customer-transformation-gallery-v2,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 129,"Jun 18, 2026",Post,blog-article-post,1080x1080 square,1,Education: Grey Blending,Education: Grey Blending,"Embracing grey? Here's how to get the perfect grey blend in your hair system. Distinguished, not dated.","Model with grey-blended system. Sophisticated, attractive.",Custom grey blend → DM 'GREY',#greyblend #distinguished #silverfox,jun-18-2026-blog-article-post-education-grey-blending,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 135,"Jun 24, 2026",Carousel,carousel-drop-reveal,1080x1080 carousel,5,Hair System Lifespan Maximizer,How to make your system last 2x longer: 8 proven tips from our experts.,How to make your system last 2x longer: 8 proven tips from our experts.,"8-slide care tips. Specific, actionable, with product recommendations.",Shop care products → link in bio,#longevity #caretips #savemoney,jun-24-2026-carousel-drop-reveal-hair-system-lifespan-maximizer,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 141,"Jun 30, 2026",Post,sale-promo-post,1080x1080 square,1,Mid-Year Sale Announcement,🔥 MID-YEAR SALE: Up to 20% off select systems + free shipping. Limited time!,🔥 MID-YEAR SALE: Up to 20% off select systems + free shipping. Limited time!,"Sale promotional graphic. Clean, urgent, premium feel.",Shop the sale → link in bio,#midyearsale #discount #limitedtime,jun-30-2026-sale-promo-post-mid-year-sale-announcement,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 144,"Jul 03, 2026",Carousel,carousel-drop-reveal,1080x1080 carousel,5,Hair System Myths Part 2,5 MORE myths debunked! Part 2 of our most popular series.,5 MORE myths debunked! Part 2 of our most popular series.,"Myth/Truth format across 5+ slides. Engaging, shareable.",Share this with someone who needs it!,#mythbusting #part2 #education,jul-03-2026-carousel-drop-reveal-hair-system-myths-part-2,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 150,"Jul 09, 2026",Post,hero-brand-post,1080x1080 square,1,5 Month Milestone,5 Month Milestone,"5 months of Hair Solutions Co. on Instagram. Growing, learning, delivering. The journey continues. 🌟","Milestone graphic with top content, growth stats, community highlights.",Thanks for being here! Tag a friend who should follow us.,#5months #milestone #onwards,jul-09-2026-hero-brand-post-5-month-milestone,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 156,"Jul 15, 2026",Carousel,carousel-how-it-works,1080x1080 carousel,5,Complete Buying Guide 2026,Complete Buying Guide 2026,The ULTIMATE 2026 buying guide: everything you need to know before purchasing a hair system.,10-slide comprehensive guide. Print-worthy. Saveable.,Save this guide → DM for help,#buyingguide #2026 #ultimate,jul-15-2026-carousel-how-it-works-complete-buying-guide-2026,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 159,"Jul 18, 2026",Post,blog-article-post,1080x1080 square,1,Back to School / Fall Prep,Back to School / Fall Prep,"New season, fresh start. Get your hair system ready for fall with these prep tips.",Seasonal lifestyle imagery. Fall aesthetic. Fresh feeling.,Fall collection → link in bio,#fall #newseason #freshstart,jul-18-2026-blog-article-post-back-to-school-fall-prep,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
Phases 2-6 (D31-180),Day 165,"Jul 24, 2026",Carousel,carousel-drop-reveal,1080x1080 carousel,5,Year So Far: Impact Report,Year So Far: Impact Report,"6 months of impact: customers served, systems shipped, confidence restored. Our numbers tell the story.",Infographic carousel with key metrics and highlights.,Be part of the story → link in bio,#impactreport #numbers #growth,jul-24-2026-carousel-drop-reveal-year-so-far-impact-report,80px safe area; wordmark visible; cool off-white or obsidian cadence; CTA bottom-right unless story.
